ensembl_gene_id	description
ENSOCUG00000025208	
ENSOCUG00000012703	elaC ribonuclease Z 2 
ENSOCUG00000027151	olfactory receptor family 1 subfamily J member 4 
ENSOCUG00000022705	coiled-coil domain containing 63 
ENSOCUG00000017440	erythroferrone 
ENSOCUG00000000140	adaptor related protein complex 3 beta 1 subunit 
ENSOCUG00000003118	solute carrier family 12 member 5 
ENSOCUG00000023100	calpain 12 
ENSOCUG00000009717	SNW domain containing 1 
ENSOCUG00000014127	TNF receptor superfamily member 1B 
ENSOCUG00000001475	G protein subunit alpha 12 
ENSOCUG00000011561	olfactory receptor family 1 subfamily J member 1 
ENSOCUG00000017442	ILK associated serine/threonine phosphatase 
ENSOCUG00000014750	poly(A) RNA polymerase D5, non-canonical 
ENSOCUG00000007521	ankyrin repeat domain 10 
ENSOCUG00000023955	major facilitator superfamily domain containing 7 
ENSOCUG00000004389	RAB19, member RAS oncogene family 
ENSOCUG00000010532	ornithine carbamoyltransferase 
ENSOCUG00000021026	
ENSOCUG00000027557	tubulin beta 3 class III 
ENSOCUG00000025586	myosin light chain 2 
ENSOCUG00000010180	
ENSOCUG00000004382	
ENSOCUG00000022334	
ENSOCUG00000027665	
ENSOCUG00000013919	FYVE, RhoGEF and PH domain containing 4 
ENSOCUG00000017844	
ENSOCUG00000014184	HEAT repeat containing 3 
ENSOCUG00000005395	inositol polyphosphate-5-phosphatase B 
ENSOCUG00000002530	prostaglandin G/H synthase 1 precursor  
ENSOCUG00000015925	TNF receptor superfamily member 8 
ENSOCUG00000002498	
ENSOCUG00000014158	
ENSOCUG00000005158	
ENSOCUG00000014993	DENN domain containing 2A 
ENSOCUG00000009713	SRA stem-loop interacting RNA binding protein 
ENSOCUG00000001438	alkB homolog 1, histone H2A dioxygenase 
ENSOCUG00000013679	
ENSOCUG00000003525	migration and invasion inhibitory protein 
ENSOCUG00000022364	
ENSOCUG00000027260	surfactant protein D 
ENSOCUG00000000215	period circadian clock 2 
ENSOCUG00000001434	serine palmitoyltransferase long chain base subunit 2 
ENSOCUG00000029260	
ENSOCUG00000021787	
ENSOCUG00000008424	tetraspanin 7 
ENSOCUG00000022797	
ENSOCUG00000025485	
ENSOCUG00000007972	mitofusin 2 
ENSOCUG00000009742	cytoplasmic linker associated protein 1 
ENSOCUG00000021923	cut like homeobox 2 
ENSOCUG00000008866	proteasome assembly chaperone 1 
ENSOCUG00000014163	
ENSOCUG00000026629	
ENSOCUG00000012813	aarF domain containing kinase 2 
ENSOCUG00000017041	
ENSOCUG00000008152	
ENSOCUG00000008870	bromodomain and WD repeat domain containing 1 
ENSOCUG00000014929	
ENSOCUG00000002707	MID1 interacting protein 1 
ENSOCUG00000023842	
ENSOCUG00000016911	
ENSOCUG00000003519	Rho GTPase activating protein 44 
ENSOCUG00000005923	CTD nuclear envelope phosphatase 1 regulatory subunit 1 
ENSOCUG00000021596	selenoprotein W 
ENSOCUG00000005487	B-Raf proto-oncogene, serine/threonine kinase 
ENSOCUG00000008530	mitochondrial ribosome recycling factor 
ENSOCUG00000001430	
ENSOCUG00000017857	BICD cargo adaptor 1 
ENSOCUG00000017052	BCL6 corepressor 
ENSOCUG00000003685	zinc finger protein 423 
ENSOCUG00000022709	
ENSOCUG00000002911	chromosome 16 open reading frame 78 
ENSOCUG00000004424	
ENSOCUG00000003144	bisphosphoglycerate mutase 
ENSOCUG00000029398	spalt like transcription factor 3 
ENSOCUG00000008127	caldesmon 1 
ENSOCUG00000026401	
ENSOCUG00000000990	cerebellin 1 precursor 
ENSOCUG00000002122	
ENSOCUG00000012740	NEDD4 binding protein 1 
ENSOCUG00000001652	cyclin B2 
ENSOCUG00000005389	metal regulatory transcription factor 1 
ENSOCUG00000002230	glutathione S-transferase pi 1 
ENSOCUG00000008527	RNA binding motif protein 18 
ENSOCUG00000002851	SH2B adaptor protein 3 
ENSOCUG00000016669	methionine adenosyltransferase 1A 
ENSOCUG00000021071	
ENSOCUG00000013006	methyl-CpG binding domain 4, DNA glycosylase 
ENSOCUG00000001054	glycolipid transfer protein 
ENSOCUG00000024198	
ENSOCUG00000001163	
ENSOCUG00000005496	solute carrier family 7 member 9 
ENSOCUG00000004814	
ENSOCUG00000001166	chromosome 1 open reading frame 174 
ENSOCUG00000001055	trichoplein keratin filament binding 
ENSOCUG00000001425	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog 
ENSOCUG00000006589	KIAA1551 
ENSOCUG00000021727	
ENSOCUG00000008522	LIM homeobox 6 
ENSOCUG00000007288	lon peptidase 2, peroxisomal 
ENSOCUG00000025571	
ENSOCUG00000027842	WD repeat domain 41 
ENSOCUG00000022462	
ENSOCUG00000005627	nuclear receptor coactivator 5 
ENSOCUG00000011737	antagonist of mitotic exit network 1 homolog 
ENSOCUG00000014027	
ENSOCUG00000006490	
ENSOCUG00000012999	EF-hand calcium binding domain 12 
ENSOCUG00000023529	translin 
ENSOCUG00000025849	
ENSOCUG00000001057	GIT ArfGAP 2 
ENSOCUG00000027065	
ENSOCUG00000023407	ribosomal protein L32 
ENSOCUG00000015259	ATPase H+ transporting accessory protein 2 
ENSOCUG00000002535	
ENSOCUG00000023987	electron transfer flavoprotein beta subunit lysine methyltransferase 
ENSOCUG00000022889	
ENSOCUG00000002855	
ENSOCUG00000007960	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 
ENSOCUG00000022824	
ENSOCUG00000021106	
ENSOCUG00000026574	
ENSOCUG00000000778	DENN domain containing 5B 
ENSOCUG00000005631	CD40 molecule 
ENSOCUG00000022969	
ENSOCUG00000009266	cullin associated and neddylation dissociated 2 (putative) 
ENSOCUG00000014749	ATP/GTP binding protein like 3 
ENSOCUG00000014818	potassium calcium-activated channel subfamily N member 2 
ENSOCUG00000029549	
ENSOCUG00000008069	chromosome 1 open reading frame 122 
ENSOCUG00000024488	
ENSOCUG00000003922	DPY30 domain containing 2 
ENSOCUG00000008512	MORN repeat containing 5 
ENSOCUG00000005384	yrdC N6-threonylcarbamoyltransferase domain containing 
ENSOCUG00000021186	
ENSOCUG00000009225	myocardin 
ENSOCUG00000025636	
ENSOCUG00000012307	family with sequence similarity 213 member A 
ENSOCUG00000023812	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1590 (ORYCUNV1R1590), mRNA. 
ENSOCUG00000023128	
ENSOCUG00000022983	
ENSOCUG00000013491	NADH:ubiquinone oxidoreductase subunit A8 
ENSOCUG00000021708	
ENSOCUG00000003338	ring finger protein 111 
ENSOCUG00000001518	LCA5L, lebercilin like 
ENSOCUG00000022161	
ENSOCUG00000015273	mitochondrial pyruvate carrier 1-like 
ENSOCUG00000012831	insulin like growth factor binding protein 1 
ENSOCUG00000015044	
ENSOCUG00000015277	chromosome X open reading frame 38 
ENSOCUG00000003182	transmembrane protein 140 
ENSOCUG00000026938	
ENSOCUG00000025101	chromosome 7 open reading frame 49 
ENSOCUG00000008417	solute carrier family 25 member 29 
ENSOCUG00000009380	tubulin tyrosine ligase like 11 
ENSOCUG00000005375	mannosidase endo-alpha like 
ENSOCUG00000009094	ATPase 13A1 
ENSOCUG00000013908	lysine acetyltransferase 5 
ENSOCUG00000002039	ATP binding cassette subfamily C member 11 
ENSOCUG00000014199	WD repeat domain 91 
ENSOCUG00000006581	
ENSOCUG00000001522	
ENSOCUG00000025996	
ENSOCUG00000015286	mediator complex subunit 14 
ENSOCUG00000006886	NADP dependent oxidoreductase domain containing 1 
ENSOCUG00000014684	cadherin 22 
ENSOCUG00000015778	solute carrier family 25 member 47 
ENSOCUG00000015686	tetraspanin 14 
ENSOCUG00000013633	DAB2 interacting protein 
ENSOCUG00000024861	sterile alpha motif domain containing 15 
ENSOCUG00000002144	transmembrane p24 trafficking protein family member 8 
ENSOCUG00000025874	
ENSOCUG00000025671	EPH receptor A10 
ENSOCUG00000021277	
ENSOCUG00000021489	
ENSOCUG00000009261	transmembrane protein 40 
ENSOCUG00000001060	ankyrin repeat domain 13A 
ENSOCUG00000015703	SH2 domain containing 4B 
ENSOCUG00000003327	SAFB like transcription modulator 
ENSOCUG00000002029	ATP binding cassette subfamily C member 12 
ENSOCUG00000026130	glutathione S-transferase zeta 1 
ENSOCUG00000014175	
ENSOCUG00000022380	mediator complex subunit 25 
ENSOCUG00000015870	centrosomal protein 89 
ENSOCUG00000015023	
ENSOCUG00000027719	KIAA2013 
ENSOCUG00000001063	stimulated by retinoic acid 8 
ENSOCUG00000029543	
ENSOCUG00000029443	
ENSOCUG00000006093	
ENSOCUG00000029239	
ENSOCUG00000027714	
ENSOCUG00000023098	vomeronasal 1 receptor oryCunV1R1512  
ENSOCUG00000027131	
ENSOCUG00000008618	family with sequence similarity 60 member A 
ENSOCUG00000013448	CCR4-NOT transcription complex subunit 4 
ENSOCUG00000015789	tryptophanyl-tRNA synthetase 
ENSOCUG00000028023	
ENSOCUG00000013391	solute carrier family 35 member C2 
ENSOCUG00000010096	mitogen-activated protein kinase kinase 4 
ENSOCUG00000007311	natriuretic peptides A precursor  
ENSOCUG00000007198	ubiquitin specific peptidase 9, X-linked 
ENSOCUG00000017805	caprin family member 2 
ENSOCUG00000015883	Fanconi anemia core complex associated protein 24 
ENSOCUG00000005776	protein O-mannosyltransferase 2 
ENSOCUG00000025744	
ENSOCUG00000007298	chloride voltage-gated channel 6 
ENSOCUG00000023880	
ENSOCUG00000029210	
ENSOCUG00000006171	family with sequence similarity 63 member B 
ENSOCUG00000026869	ovo like transcriptional repressor 1 
ENSOCUG00000021291	fuzzy planar cell polarity protein 
ENSOCUG00000015891	rhophilin Rho GTPase binding protein 2 
ENSOCUG00000011359	acyl-CoA dehydrogenase family member 10 
ENSOCUG00000025604	
ENSOCUG00000006105	cadherin related family member 1 
ENSOCUG00000021669	
ENSOCUG00000003469	
ENSOCUG00000027998	
ENSOCUG00000012757	nucleoporin 205 
ENSOCUG00000007650	engulfment and cell motility 2 
ENSOCUG00000026486	Oryctolagus cuniculus splicing factor 1 (SF1), mRNA. 
ENSOCUG00000029476	
ENSOCUG00000023153	adaptor related protein complex 2 alpha 1 subunit 
ENSOCUG00000029159	
ENSOCUG00000023397	
ENSOCUG00000026012	
ENSOCUG00000014171	makorin ring finger protein 2 
ENSOCUG00000029536	
ENSOCUG00000022871	
ENSOCUG00000007708	GADD45G interacting protein 1 
ENSOCUG00000028070	
ENSOCUG00000002267	glutathione synthetase 
ENSOCUG00000029654	
ENSOCUG00000005794	stomatin 
ENSOCUG00000017781	piwi like RNA-mediated gene silencing 3 
ENSOCUG00000025363	
ENSOCUG00000010095	zinc finger protein 18 
ENSOCUG00000016023	ADAM metallopeptidase domain 10 
ENSOCUG00000029016	
ENSOCUG00000012412	GEM interacting protein 
ENSOCUG00000008325	
ENSOCUG00000001748	transmembrane and tetratricopeptide repeat containing 1 
ENSOCUG00000027147	
ENSOCUG00000015905	G-patch domain containing 1 
ENSOCUG00000029074	
ENSOCUG00000013203	tRNA splicing endonuclease subunit 2 
ENSOCUG00000013676	
ENSOCUG00000016957	
ENSOCUG00000005771	neuroglobin 
ENSOCUG00000015799	WD repeat domain 25 
ENSOCUG00000001205	
ENSOCUG00000021588	
ENSOCUG00000026936	delta like non-canonical Notch ligand 1 
ENSOCUG00000002173	Oryctolagus cuniculus phosphorylase, glycogen, muscle (PYGM), mRNA. 
ENSOCUG00000024098	leucine rich repeat, Ig-like and transmembrane domains 2 
ENSOCUG00000017043	cell division cycle associated 8 
ENSOCUG00000022837	transmembrane protein 114 
ENSOCUG00000017255	ERGIC and golgi 2 
ENSOCUG00000006115	leucine rich repeat, Ig-like and transmembrane domains 1 
ENSOCUG00000012203	small G protein signaling modulator 1 
ENSOCUG00000006701	methyltransferase like 22 
ENSOCUG00000006120	retinal G protein coupled receptor 
ENSOCUG00000013194	peroxisome proliferator activated receptor gamma 
ENSOCUG00000003988	
ENSOCUG00000013654	RAB14, member RAS oncogene family 
ENSOCUG00000001647	lipase C, hepatic type 
ENSOCUG00000029733	
ENSOCUG00000001535	centrosomal protein 104 
ENSOCUG00000021782	
ENSOCUG00000005760	transmembrane protein 63C 
ENSOCUG00000024510	
ENSOCUG00000023493	coiled-coil serine rich protein 2 
ENSOCUG00000010579	4-aminobutyrate aminotransferase 
ENSOCUG00000012408	lysophosphatidic acid receptor 2 
ENSOCUG00000006936	
ENSOCUG00000000777	
ENSOCUG00000021550	chromosome 1 open reading frame 109 
ENSOCUG00000029028	WD repeat domain 88 
ENSOCUG00000001648	osteoclast stimulatory transmembrane protein 
ENSOCUG00000017615	solute carrier family 13 member 3 
ENSOCUG00000011354	
ENSOCUG00000029208	PBX homeobox 4 
ENSOCUG00000009440	LDL receptor related protein 3 
ENSOCUG00000002260	acyl-CoA synthetase short-chain family member 2 
ENSOCUG00000010888	R-spondin 1 
ENSOCUG00000011427	mitogen-activated protein kinase-activated protein kinase 5 
ENSOCUG00000017243	fatty acyl-CoA reductase 2 
ENSOCUG00000024203	solute carrier family 2 member 10 
ENSOCUG00000022599	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1566 (ORYCUNV1R1566), mRNA. 
ENSOCUG00000007291	methylenetetrahydrofolate reductase 
ENSOCUG00000027361	
ENSOCUG00000022697	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1529 (ORYCUNV1R1529), mRNA. 
ENSOCUG00000026223	
ENSOCUG00000029316	
ENSOCUG00000021181	
ENSOCUG00000014521	chromosome 10 open reading frame 71 
ENSOCUG00000010877	G protein nucleolar 2 
ENSOCUG00000000739	dorsal root ganglia homeobox 
ENSOCUG00000012219	
ENSOCUG00000013616	centriolin 
ENSOCUG00000025688	
ENSOCUG00000002658	EYA transcriptional coactivator and phosphatase 2 
ENSOCUG00000017339	KIAA1671 
ENSOCUG00000026177	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1550 (ORYCUNV1R1550), mRNA. 
ENSOCUG00000009443	solute carrier family 7 member 10 
ENSOCUG00000020987	
ENSOCUG00000012241	
ENSOCUG00000021089	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1528 (ORYCUNV1R1528), mRNA. 
ENSOCUG00000007170	crystallin beta B3 
ENSOCUG00000007214	transmembrane protein 116 
ENSOCUG00000005166	core-binding factor beta subunit 
ENSOCUG00000000741	ERCC excision repair 6, chromatin remodeling factor 
ENSOCUG00000007221	endoplasmic reticulum protein 29 
ENSOCUG00000015932	synapsin II 
ENSOCUG00000009796	aquaporin 9 
ENSOCUG00000021871	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1585 (ORYCUNV1R1585), mRNA. 
ENSOCUG00000009881	echinoderm microtubule associated protein like 1 
ENSOCUG00000004183	transmembrane protein 186 
ENSOCUG00000007278	chromosome 1 open reading frame 167 
ENSOCUG00000001867	solute carrier family 13 member 4 
ENSOCUG00000009150	testis specific serine kinase substrate 
ENSOCUG00000004186	phosphomannomutase 2 
ENSOCUG00000007226	N(alpha)-acetyltransferase 25, NatB auxiliary subunit 
ENSOCUG00000029161	coiled-coil domain containing 91 
ENSOCUG00000010214	potassium two pore domain channel subfamily K member 7 
ENSOCUG00000023728	
ENSOCUG00000013864	parathyroid hormone like hormone 
ENSOCUG00000016082	Oryctolagus cuniculus crystallin, beta B2 (CRYBB2), mRNA. 
ENSOCUG00000013282	mitogen-activated protein kinase kinase kinase 11 
ENSOCUG00000021018	
ENSOCUG00000005297	zinc finger DHHC-type containing 22 
ENSOCUG00000005287	
ENSOCUG00000025120	solute carrier family 18 member A3 
ENSOCUG00000016233	kelch like family member 42 
ENSOCUG00000026623	interferon regulatory factor 2 binding protein like 
ENSOCUG00000003803	angiotensin II receptor associated protein 
ENSOCUG00000016228	MANSC domain containing 4 
ENSOCUG00000016942	aldehyde dehydrogenase 1 family member A2 
ENSOCUG00000016214	mitochondrial ribosomal protein S35 
ENSOCUG00000022059	kinase non-catalytic C-lobe domain containing 1 
ENSOCUG00000005576	zinc finger MYND-type containing 8 
ENSOCUG00000010871	dynein axonemal light intermediate chain 1 
ENSOCUG00000027095	choline O-acetyltransferase 
ENSOCUG00000005673	complement C5 
ENSOCUG00000005549	dorsal inhibitory axon guidance protein 
ENSOCUG00000017758	leucine rich repeat containing 74A 
ENSOCUG00000027649	
ENSOCUG00000025663	
ENSOCUG00000002296	GRINL1A complex locus 1 
ENSOCUG00000012338	DEAD-box helicase 3, X-linked 
ENSOCUG00000016210	RAB15 effector protein 
ENSOCUG00000015952	TIMP metallopeptidase inhibitor 4 
ENSOCUG00000022206	calcium regulated heat stable protein 1 
ENSOCUG00000016191	PPFIA binding protein 1 
ENSOCUG00000009531	angel homolog 1 
ENSOCUG00000022985	CCAAT/enhancer binding protein alpha 
ENSOCUG00000011776	
ENSOCUG00000017097	
ENSOCUG00000017036	CCAAT/enhancer binding protein gamma 
ENSOCUG00000023203	adhesion G protein-coupled receptor A1 
ENSOCUG00000002250	gamma-glutamyltransferase 7 
ENSOCUG00000003527	ubiquitin specific peptidase 7 
ENSOCUG00000017042	peptidase D 
ENSOCUG00000010867	Smad nuclear interacting protein 1 
ENSOCUG00000022466	
ENSOCUG00000009526	vasohibin 1 
ENSOCUG00000010862	MYST/Esa1 associated factor 6 
ENSOCUG00000003637	cingulin like 1 
ENSOCUG00000010856	
ENSOCUG00000007589	TRAF-type zinc finger domain containing 1 
ENSOCUG00000023865	
ENSOCUG00000015940	TAM41 mitochondrial translocator assembly and maintenance homolog 
ENSOCUG00000029042	
ENSOCUG00000021612	
ENSOCUG00000028066	
ENSOCUG00000025267	
ENSOCUG00000022613	chromosome 12 open reading frame 71 
ENSOCUG00000017812	transcription factor 12 
ENSOCUG00000022048	
ENSOCUG00000016178	single-pass membrane protein with coiled-coil domains 2 
ENSOCUG00000027787	
ENSOCUG00000001911	vestigial like family member 4 
ENSOCUG00000001207	estrogen related receptor beta 
ENSOCUG00000025836	
ENSOCUG00000029605	
ENSOCUG00000001870	family with sequence similarity 180 member A 
ENSOCUG00000007097	aryl hydrocarbon receptor nuclear translocator like 2 
ENSOCUG00000024094	
ENSOCUG00000011167	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB 
ENSOCUG00000025601	regulator of G-protein signaling 11 
ENSOCUG00000006752	mesoderm specific transcript 
ENSOCUG00000004135	G-patch domain containing 2 like 
ENSOCUG00000005581	glutamate ionotropic receptor kainate type subunit 3 
ENSOCUG00000021959	HECT domain E3 ubiquitin protein ligase 4 
ENSOCUG00000021498	
ENSOCUG00000022781	serine/threonine kinase 38 like 
ENSOCUG00000001908	autophagy related 7 
ENSOCUG00000011421	intraflagellar transport 43 
ENSOCUG00000011415	transforming growth factor beta 3 
ENSOCUG00000028010	
ENSOCUG00000010531	potassium channel tetramerization domain containing 15 
ENSOCUG00000013787	oxoglutarate dehydrogenase-like 
ENSOCUG00000009637	nuclear receptor coactivator 6 
ENSOCUG00000005668	TNF receptor associated factor 1 
ENSOCUG00000023779	
ENSOCUG00000015987	
ENSOCUG00000004856	nyctalopin 
ENSOCUG00000021492	
ENSOCUG00000004864	calcium/calmodulin dependent serine protein kinase 
ENSOCUG00000007004	centrosomal protein 41 
ENSOCUG00000011872	
ENSOCUG00000024321	
ENSOCUG00000027450	
ENSOCUG00000023131	
ENSOCUG00000005988	nuclear receptor coactivator 3 
ENSOCUG00000027760	
ENSOCUG00000009634	
ENSOCUG00000024749	
ENSOCUG00000008344	transmembrane 7 superfamily member 3 
ENSOCUG00000027851	poly(ADP-ribose) glycohydrolase 
ENSOCUG00000024955	
ENSOCUG00000009627	phosphatidylinositol glycan anchor biosynthesis class U 
ENSOCUG00000027892	
ENSOCUG00000005659	PHD finger protein 19 
ENSOCUG00000001906	histamine receptor H1 
ENSOCUG00000007717	
ENSOCUG00000015528	chromosome 16 open reading frame 72 
ENSOCUG00000011399	tubulin tyrosine ligase like 5 
ENSOCUG00000002236	KIAA0355 
ENSOCUG00000000129	LUC7 like 
ENSOCUG00000016115	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2) 
ENSOCUG00000012346	
ENSOCUG00000025657	
ENSOCUG00000008408	activating transcription factor 7 interacting protein 2 
ENSOCUG00000000525	
ENSOCUG00000003873	
ENSOCUG00000007001	carboxypeptidase A1 
ENSOCUG00000003220	G protein-coupled receptor 34 
ENSOCUG00000009687	methylcrotonoyl-CoA carboxylase 2 
ENSOCUG00000008342	FGFR1 oncogene partner 2 
ENSOCUG00000022309	epithelial membrane protein 2 
ENSOCUG00000029385	
ENSOCUG00000025413	cytohesin 4 
ENSOCUG00000003218	G protein-coupled receptor 82 
ENSOCUG00000023894	
ENSOCUG00000022160	
ENSOCUG00000025629	
ENSOCUG00000012846	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 9 
ENSOCUG00000022955	
ENSOCUG00000015094	zinc finger protein 280D 
ENSOCUG00000026767	
ENSOCUG00000005644	proteasome 26S subunit, non-ATPase 5 
ENSOCUG00000024418	
ENSOCUG00000001110	tektin 5 
ENSOCUG00000025463	
ENSOCUG00000016338	chromosome 14 open reading frame 1 
ENSOCUG00000008328	asunder, spermatogenesis regulator 
ENSOCUG00000003003	
ENSOCUG00000011137	
ENSOCUG00000001455	glucose-6-phosphate isomerase 
ENSOCUG00000013898	CART prepropeptide 
ENSOCUG00000012557	SRY-box 6 
ENSOCUG00000021027	
ENSOCUG00000029538	feline leukemia virus subgroup C cellular receptor family member 2 
ENSOCUG00000001429	
ENSOCUG00000012282	meiosis specific nuclear structural 1 
ENSOCUG00000016652	RIB43A domain with coiled-coils 2 
ENSOCUG00000006993	carboxypeptidase A5 
ENSOCUG00000001672	
ENSOCUG00000024273	sulfatase 2 
ENSOCUG00000015354	
ENSOCUG00000007948	microtubule associated protein 1B 
ENSOCUG00000000922	nucleotide binding protein 1 
ENSOCUG00000001627	solute carrier family 6 member 11 
ENSOCUG00000023972	DEAD-box helicase 18 
ENSOCUG00000011231	colony stimulating factor 3 receptor 
ENSOCUG00000022526	
ENSOCUG00000024774	
ENSOCUG00000029181	
ENSOCUG00000005638	F-box and WD repeat domain containing 2 
ENSOCUG00000012275	testis expressed 9 
ENSOCUG00000010741	inositol 1,4,5-trisphosphate receptor type 2 
ENSOCUG00000000923	trans-golgi network vesicle protein 23 homolog A 
ENSOCUG00000025382	
ENSOCUG00000029139	carboxypeptidase A4 
ENSOCUG00000010908	shisa family member 6 
ENSOCUG00000026625	basic leucine zipper ATF-like transcription factor 
ENSOCUG00000007961	mitochondrial ribosomal protein S27 
ENSOCUG00000022205	
ENSOCUG00000021652	phosphoinositide interacting regulator of transient receptor potential channels 
ENSOCUG00000005675	mitochondrial ribosomal protein S15 
ENSOCUG00000023258	
ENSOCUG00000013678	regulatory factor X7 
ENSOCUG00000009745	multiple EGF like domains 9 
ENSOCUG00000023496	
ENSOCUG00000012021	transmembrane protein 220 
ENSOCUG00000021942	
ENSOCUG00000003802	
ENSOCUG00000008466	Jun dimerization protein 2 
ENSOCUG00000022799	
ENSOCUG00000007970	pentatricopeptide repeat domain 2 
ENSOCUG00000021506	Fos proto-oncogene, AP-1 transcription factor subunit 
ENSOCUG00000004522	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent 
ENSOCUG00000012568	CDK5 regulatory subunit associated protein 2 
ENSOCUG00000017373	pleckstrin homology domain containing A7 
ENSOCUG00000006208	class II major histocompatibility complex transactivator 
ENSOCUG00000006983	carboxypeptidase A2 
ENSOCUG00000015719	SCO1, cytochrome c oxidase assembly protein 
ENSOCUG00000005337	organic solute carrier partner 1 
ENSOCUG00000006856	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase 
ENSOCUG00000004669	transmembrane p24 trafficking protein 10 
ENSOCUG00000010397	extracellular leucine rich repeat and fibronectin type III domain containing 2 
ENSOCUG00000011183	olfactory receptor family 2 subfamily Z member 1 
ENSOCUG00000004571	zinc finger protein 366 
ENSOCUG00000003512	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase 
ENSOCUG00000029481	actin like 9 
ENSOCUG00000004533	protein tyrosine phosphatase, non-receptor type 11 
ENSOCUG00000000151	serine rich single-pass membrane protein 1 
ENSOCUG00000005536	ribosomal protein S13 
ENSOCUG00000026658	ADAM metallopeptidase with thrombospondin type 1 motif 10 
ENSOCUG00000010253	transmembrane protein 209 
ENSOCUG00000004509	myosin-3  
ENSOCUG00000001436	monoamine oxidase B 
ENSOCUG00000022045	
ENSOCUG00000024566	
ENSOCUG00000001373	BMP/retinoic acid inducible neural specific 1 
ENSOCUG00000012654	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 
ENSOCUG00000010201	NIMA related kinase 9 
ENSOCUG00000013318	transportin 1 
ENSOCUG00000005541	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha 
ENSOCUG00000005333	LSM10, U7 small nuclear RNA associated 
ENSOCUG00000027152	
ENSOCUG00000005325	serine/threonine kinase 40 
ENSOCUG00000011752	pygopus family PHD finger 1 
ENSOCUG00000003221	lysine demethylase 7A 
ENSOCUG00000020936	rabphilin 3A 
ENSOCUG00000025031	dyslexia susceptibility 1 candidate 1 
ENSOCUG00000021402	
ENSOCUG00000007468	cell cycle progression 1 
ENSOCUG00000003517	caspase recruitment domain family member 10 
ENSOCUG00000024821	
ENSOCUG00000002216	toll like receptor 4 
ENSOCUG00000010140	leucine zipper transcription factor like 1 
ENSOCUG00000006217	C-type lectin domain family 16 member A 
ENSOCUG00000026542	
ENSOCUG00000007457	phosphatidylinositol glycan anchor biosynthesis class B 
ENSOCUG00000001699	kelch domain containing 10 
ENSOCUG00000002287	eva-1 homolog B 
ENSOCUG00000008592	adenosylhomocysteinase 
ENSOCUG00000021237	
ENSOCUG00000003213	poly(ADP-ribose) polymerase family member 12 
ENSOCUG00000003260	
ENSOCUG00000000863	astrotactin 2 
ENSOCUG00000007452	RAB27A, member RAS oncogene family 
ENSOCUG00000004216	solute carrier family 6 member 20 
ENSOCUG00000017137	zinc finger C3HC-type containing 1 
ENSOCUG00000010195	zinc finger C2HC-type containing 1C 
ENSOCUG00000021996	CDC42 effector protein 1 
ENSOCUG00000016140	thromboxane A synthase 1 
ENSOCUG00000010190	acylphosphatase 1 
ENSOCUG00000005323	thyroid hormone receptor associated protein 3 
ENSOCUG00000002487	galectin 2 
ENSOCUG00000000866	tripartite motif containing 32 
ENSOCUG00000010182	mutL homolog 3 
ENSOCUG00000011138	agouti-signaling protein precursor  
ENSOCUG00000027810	zinc finger AN1-type containing 4 
ENSOCUG00000001067	
ENSOCUG00000003283	FCH domain only 2 
ENSOCUG00000021836	suppressor of cytokine signaling 1 
ENSOCUG00000022590	
ENSOCUG00000023101	
ENSOCUG00000001458	
ENSOCUG00000021104	transition protein 2 
ENSOCUG00000004318	protamine 3 
ENSOCUG00000007447	ribosomal L24 domain containing 1 
ENSOCUG00000001465	pappalysin 1 
ENSOCUG00000027849	2'-5'-oligoadenylate synthetase 3 
ENSOCUG00000005446	ADP ribosylation factor guanine nucleotide exchange factor 2 
ENSOCUG00000020905	
ENSOCUG00000001464	ubiquitin like modifier activating enzyme 2 
ENSOCUG00000021383	
ENSOCUG00000021894	Sperm protamine P1  
ENSOCUG00000013054	ubiquitin conjugating enzyme E2 H 
ENSOCUG00000015854	homeodomain interacting protein kinase 2 
ENSOCUG00000000953	RecQ mediated genome instability 2 
ENSOCUG00000023252	
ENSOCUG00000000481	eukaryotic translation initiation factor 2 subunit beta 
ENSOCUG00000005434	
ENSOCUG00000024558	
ENSOCUG00000003790	lipopolysaccharide induced TNF factor 
ENSOCUG00000001551	MAP7 domain containing 1 
ENSOCUG00000012174	nuclear respiratory factor 1 
ENSOCUG00000016041	unc-13 homolog C 
ENSOCUG00000010175	translation initiation factor eIF-2B subunit beta  
